OBJECTID,TIPO_VIA,SUBREGION,MUNICIPIO,NOMBRE_VIA,CODIGO_VIA,COMPETENTE,ORDEN,CONCESION,TRAMO_VIA,RUTA_VIA,INICIO,FIN,CENTRO_POBLADO,L_ODOMETRO,L_GPS,ANCHO_VIA,TIPOSUPERFICIE,ESTADO_SUPERFICIE,FUENTEINFO,PRODUCTO_PRINCIPAL,Shape__Length,GlobalID
135,2, , ,Ye a La Bodega (Andes) - Puente Lata - Jericó,60AN04-1-1, ,Tercer Orden, , , ,Ye a La Bodega (Andes),Jericó, ,28.0,28.0,3.920399,0,0, , ,28043.7601524764,c9620127-b934-413e-9d2e-1cfaa5228b7d
136,2, , ,Casa Verde - Aeropuerto- Puerto Zungo,62AN31, ,Primer Orden, , , , , , ,0.0,0.0,0.0,0,0, , ,12883.200488534609,735872cc-da12-4cfa-a57d-39e39389e760
137,2, , ,Sopetrán - Belmira,62AN15, ,Tercer Orden, , , ,Sopetrán, Belmira, ,44.0,43.49586893,5.0,0,0, , ,43443.10674323134,1b353461-9e5a-4fa8-a3c0-e374f93f6bd4
138,2, , ,Abejorral - El Cairo -  La Elvira (Sta. Bárbara),56AN05-2, ,Segundo Orden, , , ,Abejorral,  La Elvira (Sta. Bárbara), ,35.5,35.0,5.717494,0,0, , ,35216.5404784746,a7fbfda0-79b8-46a6-854b-83c9aeaa8aff
139,2, , ,La Frontera (Ruta 56) - Abejorral,56AN07, ,Segundo Orden, , , ,La Frontera (Ruta 56),Abejorral, ,27.6,27.2,5.174915,0,0, , ,27442.868612173414,8afedea9-595c-43d8-ac00-6873d610f2f6
140,2, , ,Morelia (Ruta 56) - Abejorral,56AN08, ,Segundo Orden, , , ,Morelia (Ruta 56),Abejorral, ,29.0,28.7,4.085556,0,0, , ,29102.862931452466,5a62b48e-ac0c-4583-86db-88b257854591
141,2, , ,Remolino - Hispania - Puerto Boy - La Bodega - Andes - Jardín - Alto de Ventanas,60AN04, ,Segundo Orden, , , ,Remolino, Alto de Ventanas, ,62.8,61.6,3.37978,0,0, , ,62039.014498895966,c4cd4318-3088-4481-a65a-ded18d840f57
142,2, , ,Paso Nivel (Ruta 60)  - Ye  Amagá - Angelópolis,60AN10, ,Segundo Orden, , , ,Paso Nivel (Ruta 60),Angelópolis, ,12.9,12.6,6.382272,0,0, , ,13263.582096638522,ca2b880b-1cdf-4636-b998-3563b2f47b23
143,2, , ,Versalles - Montebello,25AN03, ,Segundo Orden, , , ,Versalles, Montebello, ,11.5,11.5,6.173913,0,0, , ,11600.763547078712,f05b0ea5-d183-4c65-a192-f6f1d5011f07
144,2, , ,El Chaquiro (Ruta 25) - Te a Labores,25AN10, ,Tercer Orden, , , ,El Chaquiro (Ruta 25), Te a Labores, ,27.9,27.3,4.777826,0,0, , ,27526.12621724205,2924e181-c757-4c5d-a715-d663786b6aba
