OBJECTID,TIPO_VIA,SUBREGION,MUNICIPIO,NOMBRE_VIA,CODIGO_VIA,COMPETENTE,CONCESION,ORDEN,TRAMO_VIA,RUTA_VIA,INICIO,FIN,CENTRO_POBLADO,L_ODOMETRO,L_GPS,ANCHO_VIA,TIPOSUPERFICIE,ESTADO_SUPERFICIE,FUENTEINFO,PRODUCTO_PRINCIPAL,Shape__Length,GlobalID
28,1, , ,Necoclí - Arboletes - Puerto Rey,9002,ANI - Vias de las Americas S.A.S,Vias de las Americas S.A.S,Primer Orden,Necoclí - Puerto Rey,90, , , ,0,0,1,0,0, , ,83721.02250399099,6a7ad811-80d4-4fbd-a8a2-0ab3fb414c21
29,1, , ,Chigorodó - Dabeiba,6202,ANI - Vias de las Americas S.A.S,CONSORCIO VÍAS DE LAS AMÉRICAS S.A.,Primer Orden,Chigorodó - El Tigre,62, , , ,0,0,1,0,0, , ,11245.036857221146,42e5c8fb-717f-40a4-89c6-e4d01f5a191a
30,1, , ,Santa Fe de Antioquia - Medellín,6204,Gobernación de Antioquia (Conexión Vial Aburrá - Río Cauca),Administración Conexión Vial Aburrá - Río Cauca,Primer Orden,Puente Aurra - San Cristobal,62, , , ,0,0,1,0,0, , ,54971.464516016335,829ba218-e3a0-453b-8af3-d462ab3986b4
31,1, , ,Variante Las Palmas (Glorieta Las Palmas - Glorieta Sajonia),56AN11,Gobernación de Antioquia (Concesión Túnel Aburrá - Oriente S.A.),Concesión Túnel Aburrá - Oriente S.A.,Primer Orden,Variante Las Palmas (Glorieta Las Palmas - Glorieta Sajonia), , , , ,0,0,1,0,0, , ,14579.376635415674,a46559ee-00f6-4824-bd1e-92f362d1b5e4
32,1, , ,Cauya - La Pintada,2508,ANI - Pacífico tres,CONCESIÓN PACIFICO TRES S.A.S,Primer Orden,Cauyá - La Pintada,25, , , ,0,0,1,0,0, , ,23388.25257910958,1f49e270-bcc6-48de-b590-e565f07d8b5e
33,1, , ,Medellín - Rionegro,60AN03,Gobernación de Antioquia (Concesión Túnel Aburrá - Oriente S.A.),Concesión Túnel Aburrá - Oriente S.A.,Primer Orden,Glorieta Sajonia - Glorieta Aeropuerto José María Cordova, , , , ,0,0,1,0,0, , ,3118.5254865223524,2ea595ec-7f93-4692-a7cf-90fda41974bd
34,1, , ,Medellín - Don Diego - La Unión - Sonsón,5601,Gobernación de Antioquia (Concesión Túnel Aburrá - Oriente S.A.), ,Primer Orden,Chuscalito - Glorieta Las Palmas,56, , , ,0,0,1,0,0, , ,19125.818819883698,845be077-8f63-4350-82b4-c68fe523b6e3
35,1, , ,Medellin - La Union - Sonson,5601,ANI - Devimed S.A.,Devimed S.A.,Primer Orden,Glorieta Las Palmas - Don Diego - La Ceja - La Unión,56, , , ,0,0,1,0,0, , ,38045.45395378392,3332dcd7-4c8c-47b0-ae69-679c5c36d9d0
36,1, , ,Medellín - Don Diego - La Unión - Sonsón,5601,INVIAS - Antioquia, ,Primer Orden,La Unión - Sonsón,56, , , ,0,0,1,0,0, , ,55128.808647851765,6c9b8703-d4ab-43db-a7fc-1d508baecc5c
37,1, , ,Medellín - Los Llanos,2510,INVIAS - Antioquia, ,Primer Orden,Don Matías (La Cabaña) - Llanos de Cuivá,25, , , ,0,0,1,0,0, , ,32769.36948550111,1f43cc65-d70a-418f-b53d-8ce30551db93
38,1, , ,Glorieta San Diego -Chuscalito, ,Municipio de Medellín, ,Primer Orden,Glorieta San Diego -Chuscalito,56, , , ,0,0,1,0,0, , ,5351.4938244370915,b7d9ca79-80a6-49de-97cc-4210e62a37ad
39,1, , ,Caucasia - Planeta Rica,2513,ANI - Antioquia - Bolívar,Antioquia - Bolívar,Primer Orden,Caucasia - Planeta Rica,25, , , ,0,0,1,0,0, , ,5993.164908113491,a364c3d2-8310-47e8-b636-8693620e2217
40,1, , ,Medellín - Rionegro,60AN03,Municipio de Medellín, ,Primer Orden,Medellín (Subestación EPM) - Barrio 8 de Marzo, , , , ,0,0,1,0,0, , ,2462.857669855978,67195fb8-8cdf-4be0-b421-bf4f4eaf0cf0
41,1, , ,Hatillo - Barbosa (Nuevo Tramo Doble Calzada),6205A,Gobernación de Antioquia (Hatovial S.A.),Hatovial S.A.,Primer Orden,Hatillo - Barbosa (Nuevo Tramo Doble Calzada), , , , ,0,0,1,0,0, , ,7962.086585039021,e444b8c7-97cb-4a2f-a3ec-7c4a2e9d7c05
42,1, , ,Barbosa - Pradera,6205A,Gobernación de Antioquia (Hatovial S.A.),Hatovial S.A.,Primer Orden,Barbosa - Pradera, , , , ,0,0,1,0,0, , ,22396.30353125421,e9ef048d-d508-439a-acbd-35dddfe91b9e
43,1, , ,Autopista (Ruta 60) - Glorieta Aeropuerto,60AN22,ANI - Devimed S.A.,Devimed S.A.,Primer Orden,Autopista (Ruta 60) - Glorieta Aeropuerto, , , , ,0,0,1,0,0, , ,9183.295622235479,b5ff1af6-e405-419e-aa70-586e9d7673ba
44,1, , ,Medellín - Rionegro,60AN03,ANI - Devimed S.A.,Devimed S.A.,Primer Orden,Glorieta Aeropuerto José María Cordova - Llanogrande, , , , ,0,0,1,0,0, , ,5991.393118738748,aff30d66-b4c2-4fa6-b524-9825d2b69728
45,1, , ,Glorieta Aeropuerto - Aeropuerto, ,Aerocivil,Airplane,Primer Orden, Glorieta Aeropuerto - Aeropuerto, , , , ,0,0,1,0,0, , ,3613.7251357134037,5644cc35-6610-47d0-8c9d-33e106e99b34
46,1, , ,La Mansa - Primavera,6003,ANI - Vial del Pacífico,Concesionaria Vial del Pacífico S.A.S - COVIPACÍFICO S.A.S,Primer Orden,Peñalisa - Primavera,60, , , ,0,0,1,0,0, , ,46528.98252646188,fc7a8c00-573e-47c8-8039-1ca9a52c8301
47,1, , ,Puente Aurra - Medellín,6204A,ANI,DESARROLLO VIAL AL MAR S.A.S,Primer Orden,Puente Aurra - Medellín,62, , , ,0,0,1,0,0, , ,38708.472262653275,744e0c1d-f301-4b87-988d-cb880aab6b19
48,1, , ,Santa Fe de Antioquia - Medellín,6204,ANI- Consorcio  Estructura Plural SAC,DESARROLLO VIAL AL MAR S.A.S,Primer Orden,Santa Fe de Antioquia - Puente Aurra,62, , , ,0,0,1,0,0, , ,16028.228874002973,599a92fc-dbb4-4433-850b-4de9ddafdb6a
